삭제,bsn_tp,crp_cls,crp_nm,crp_cd,rpt_nm,rcp_no,flr_nm,rcp_dt
,E003,Y,동화약품,A000020,합병등종료보고서(자산양수도),20171113000213,동화약품,20171113
,E003,Y,KR모터스,A000040,자산양수ㆍ도종료보고서,20070928000333,KR모터스,20070928
,E003,Y,CJ대한통운,A000120,[기재정정]영업양수ㆍ도종료보고서,20090122000008,CJ대한통운,20090122
,E003,Y,CJ대한통운,A000120,합병등종료보고서(자산양수도),20120102000266,CJ대한통운,20120102
,E003,Y,하이트진로홀딩스,A000140,합병등종료보고서(자산양수도),20090410000957,하이트진로홀딩스,20090410
,E003,Y,하이트진로홀딩스,A000140,합병등종료보고서(자산양수도),20090521000091,하이트진로홀딩스,20090521
,E003,Y,하이트진로홀딩스,A000140,합병등종료보고서(자산양수도),20090624000313,하이트진로홀딩스,20090625
,E003,Y,하이트진로홀딩스,A000140,합병등종료보고서(자산양수도),20090804000007,하이트진로홀딩스,20090804
,E003,Y,하이트진로홀딩스,A000140,합병등종료보고서(자산양수도),20120510001132,하이트진로홀딩스,20120510
,E003,Y,두산,A000150,[기재정정]합병등종료보고서(영업양수도),20090313000481,두산,20090313
,E003,Y,유유제약,A000220,자산양수ㆍ도종료보고서,20070611000276,유유제약,20070611
,E003,K,삼천당제약,A000250,자산양수ㆍ도종료보고서,20060807000100,삼천당제약,20060807
,E003,Y,대유플러스,A000300,자산양수ㆍ도종료보고서,20060831000095,대유플러스,20060831
,E003,Y,노루홀딩스,A000320,자산양수ㆍ도종료보고서,20050718000075,노루홀딩스,20050718
,E003,Y,한화손해보험,A000370,자산양수ㆍ도종료보고서,20080526000241,한화손해보험,20080526
,E003,Y,한화손해보험,A000370,자산양수ㆍ도종료보고서,20080617000073,한화손해보험,20080617
,E003,Y,천일고속,A000650,합병등종료보고서(자산양수도),20170920000395,천일고속,20170921
,E003,Y,LS네트웍스,A000680,합병등종료보고서(자산양수도),20150723000300,LS네트웍스,20150723
,E003,Y,이화산업,A000760,합병등종료보고서(자산양수도),20140401001282,이화산업,20140401
,E003,Y,한국주철관공업,A000970,자산양수ㆍ도종료보고서,20070817000105,한국주철관공업,20070817
,E003,Y,DB하이텍,A000990,합병등종료보고서(자산양수도),20091231000314,DB하이텍,20091231
1,E003,E,아이이,A00100717,자산양수ㆍ도종료보고서,20081106000036,아이이,20081106
